id	nama	kategori	deskripsi	harga	berat	gambar	badge
champ-chicken-nugget	Champ Chicken Nugget	nugget_sosis	Naget ayam kombinasi dari Champ, siap masak dan cocok untuk anak-anak.	35000	450g	produk/champ-chicken-nugget.webp	
kanzler-crispy-nugget	Kanzler Crispy Chicken Nugget	nugget_sosis	Nugget ayam crispy premium Kanzler dengan bubble crumb coating, extra meaty.	44000	450g	produk/kanzler-crispy-chicken-nugget.webp	Premium
kanzler-nugget-spicy	Kanzler Crispy Chicken Nugget Spicy	nugget_sosis	Nugget ayam crispy pedas Kanzler dengan bubble crumb, sensasi spicy menggigit!	45000	450g	produk/kanzler-crispy-chicken-nugget-spicy.webp	Pedas
kanzler-nugget-original	Kanzler Chicken Nugget Original	nugget_sosis	Nugget ayam original Kanzler premium quality, extra meaty extra 3 pcs!	46000	450g	produk/kanzler-chicken-nugget-original.webp	Premium
uenaaak-nugget-coin	Uenaaak Nugget Coin by Belfoods	nugget_sosis	Naget ayam kombinasi bentuk koin dari Belfoods, daging ayam pilihan rasa lebih uenaaak!	29000	500g	produk/uenaaak-nugget-coin.webp	
hemato-naget-mix	Hemato Naget Ayam Kombinasi Mix	nugget_sosis	Naget ayam kombinasi bentuk mix dari Hemato, berbagai bentuk dalam satu kemasan.	26000	500g	produk/hemato-naget-ayam-kombinasi-mix.webp	
okey-naget-ayam	Okey Naget Ayam	nugget_sosis	Naget ayam kombinasi dari Okey, simpan beku keep frozen -18\u00B0C.	24000	500g	produk/okey-naget-ayam.webp	
oye-stik-naget	Oye Stik Naget Ayam	nugget_sosis	Naget ayam bentuk stik dari Oye, asli dagingnya mantab rasanya. Sudah dimasak.	31000	500g	produk/oye-stik-naget-ayam.webp	
okey-stik-naget	Okey Stik Naget Ayam	nugget_sosis	Naget ayam kombinasi bentuk stik dari Okey, simpan beku -18\u00B0C.	25000	500g	produk/okey-stik-naget-ayam.webp	
fiesta-stikie	Fiesta Stikie Naget Ayam	nugget_sosis	Naget ayam bentuk stik dari Fiesta, crunchy outside juicy inside extra meaty.	37000	400g	produk/fiesta-stikie.webp	
champ-nugget-stick	Champ Chicken Nugget Stick	nugget_sosis	Naget ayam kombinasi bentuk stik dari Champ, siap masak simpan beku -18\u00B0C.	34000	450g	produk/champ-chicken-nugget-stick.webp	
fiesta-nugget-pizzabo	Fiesta Nugget Pizzabo ABC	kentang_camilan	Naget ayam bentuk huruf ABC rasa pizza dari Fiesta, favorit anak-anak!	36000	400g	produk/fiesta-nugget-pizzabo.webp	Kids
oye-funny-naget	Oye Funny Naget Ayam	kentang_camilan	Naget ayam bentuk lucu dari Oye, mantab rasanya cocok untuk camilan anak.	30000	500g	produk/oye-funny-naget-ayam.webp	Kids
champ-nugget-abc	Champ Chicken Nugget ABC	kentang_camilan	Naget ayam kombinasi bentuk abjad ABC dari Champ, siap masak favorit si kecil!	34000	450g	produk/champ-chicken-nugget-abc.webp	Kids
fiesta-nugget-dino	Fiesta Nugget Dino	kentang_camilan	Naget ayam bentuk dinosaurus lucu dari Fiesta, cute dino shape yummy!	36000	400g	produk/fiesta-nugget-dino.webp	Kids
oye-koin-naget	Oye Koin Naget Ayam	kentang_camilan	Naget ayam bentuk koin lucu dari Oye, asli dagingnya mantab rasanya.	30000	500g	produk/oye-koin-naget-ayam.webp	Kids
champ-crunchy-nugget	Champ Crunchy Nugget	nugget_sosis	Naget ayam kombinasi renyah dari Champ edisi BoBoiBoy, simpan beku -18\u00B0C.	35000	450g	produk/champ-crunchy-nugget.webp	
fiesta-pok-pok	Fiesta Pok-Pok	bakso_dimsum	Daging ayam olahan bite-size dari Fiesta, great taste siap masak ready to cook.	35000	400g	produk/fiesta-pok-pok.webp	Rekomendasi
fiesta-spicy-wing	Fiesta Spicy Wing	bakso_dimsum	Sayap ayam dengan bumbu pedas dari Fiesta, selected seasoning juicy inside.	40000	400g	produk/fiesta-spicy-wing.webp	Pedas
fiesta-crispy-crunch	Fiesta Crispy Crunch	bakso_dimsum	Kulit ayam goreng crispy crunch dari Fiesta, tasty snack flavorful!	30000	300g	produk/fiesta-crispy-crunch.webp	
fiesta-spicy-chick	Fiesta Spicy Chick	bakso_dimsum	Daging ayam dengan bumbu pedas spesial dari Fiesta, specially seasoned juicy inside.	38000	400g	produk/fiesta-spicy-chick.webp	Pedas
fiesta-karage	Fiesta Karage	bakso_dimsum	Daging paha ayam karage renyah ala Jepang dari Fiesta, juicy inside crunchy outside.	39000	400g	produk/fiesta-karage.webp	Terfavorit
